Country Name,Country Code,CPIA
,AFE,3.283333333333333
阿富汗,AFG,2.7
,AFW,3.3
安哥拉,AGO,2.8
阿拉伯联盟国家,ARB,2.96
亚美尼亚,ARM,4.1
阿塞拜疆,AZE,3.8
布隆迪,BDI,3.6
贝宁,BEN,3.5
布基纳法索,BFA,3.7
孟加拉国,BGD,3.6
波斯尼亚和黑塞哥维那,BIH,3.7
玻利维亚,BOL,3.8
不丹,BTN,4.1
中非共和国,CAF,2.6
科特迪瓦,CIV,3.5
喀麦隆,CMR,3.2
刚果（金）,COD,3.2
刚果（布）,COG,3.0
科摩罗,COM,2.9
佛得角,CPV,4.3
加勒比小国,CSS,3.64
吉布提,DJI,3.4
多米尼克,DMA,3.7
东亚与太平洋地区（不包括高收入）,EAP,3.2636363636363637
早人口紅利,EAR,3.441379310344828
东亚与太平洋地区,EAS,3.2636363636363637
欧洲与中亚地区（不包括高收入）,ECA,3.755555555555556
欧洲与中亚地区,ECS,3.755555555555556
厄立特里亚,ERI,2.8
埃塞俄比亚,ETH,3.8
脆弱和受衝突影響的情況下,FCS,2.981481481481481
格鲁吉亚,GEO,4.2
加纳,GHA,4.0
几内亚,GIN,3.4
冈比亚,GMB,3.5
几内亚比绍共和国,GNB,2.7
格林纳达,GRD,3.9
圭亚那,GUY,3.4
洪都拉斯,HND,3.8
重债穷国 (HIPC),HPC,3.2368421052631575
海地,HTI,2.7
只有IBRD,IBD,3.85
IBRD与IDA,IBT,3.3324675324675326
IDA總,IDA,3.2767123287671227
IDA混合,IDB,3.473333333333333
只有IDA,IDX,3.255769230769231
印度,IND,3.7
肯尼亚,KEN,3.7
吉尔吉斯斯坦,KGZ,3.8
柬埔寨,KHM,3.5
基里巴斯,KIR,3.3
拉丁美洲与加勒比海地区（不包括高收入）,LAC,3.5555555555555554
老挝,LAO,3.5
利比里亚,LBR,3.1
圣卢西亚,LCA,3.9
拉丁美洲与加勒比海地区,LCN,3.5555555555555554
最不发达国家：联合国分类,LDC,3.197674418604652
低收入国家,LIC,3.169565217391304
斯里兰卡,LKA,3.7
中低等收入国家,LMC,3.368292682926829
中低收入国家,LMY,3.332467532467532
莱索托,LSO,3.5
後期人口紅利,LTE,3.7818181818181817
摩尔多瓦,MDA,4.1
马达加斯加,MDG,3.6
马尔代夫,MDV,3.9
中东与北非地区,MEA,3.2
中等收入国家,MIC,3.422222222222223
马里,MLI,3.6
中东与北非地区（不包括高收入）,MNA,3.2
蒙古,MNG,3.8
莫桑比克,MOZ,3.5
毛里塔尼亚,MRT,3.6
马拉维,MWI,3.6
尼日尔,NER,3.4
尼日利亚,NGA,3.5
尼加拉瓜,NIC,3.9
尼泊尔,NPL,3.9
其他小国,OSS,3.35
巴基斯坦,PAK,3.2
巴布亚新几内亚,PNG,2.8
預人口紅利,PRE,3.1382352941176466
太平洋岛国,PSS,3.18
人口紅利之後,PST,3.7
卢旺达,RWA,4.3
南亚,SAS,3.5375
苏丹,SDN,2.5
塞内加尔,SEN,3.7
所罗门群岛,SLB,2.7
塞拉利昂,SLE,3.3
撒哈拉以南非洲地区（不包括高收入）,SSA,3.2589743589743585
撒哈拉以南非洲地区,SSF,3.2589743589743585
小国,SST,3.38
圣多美和普林西比,STP,3.1
乍得,TCD,3.0
东亚与太平洋地区 (IBRD与IDA),TEA,3.2636363636363637
欧洲与中亚地区 (IBRD与IDA),TEC,3.755555555555556
多哥,TGO,3.7
塔吉克斯坦,TJK,3.5
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,3.5555555555555554
东帝汶,TLS,2.9
中东与北非地区 (IBRD与IDA),TMN,3.2
汤加,TON,3.4
南亚 (IBRD与IDA),TSA,3.5375
撒哈拉以南非洲地区 (IBRD与IDA),TSS,3.2589743589743585
坦桑尼亚,TZA,3.8
乌干达,UGA,3.7
中高等收入国家,UMC,3.730769230769231
乌兹别克斯坦,UZB,3.9
圣文森特和格林纳丁斯,VCT,3.8
越南,VNM,4.1
瓦努阿图,VUT,3.2
世界,WLD,3.3324675324675335
萨摩亚,WSM,3.9
科索沃,XKX,3.4
也门共和国,YEM,3.1
赞比亚,ZMB,3.5
津巴布韦,ZWE,3.7
