Country Name,Country Code,Gini
阿根廷,ARG,43.6
亚美尼亚,ARM,34.4
澳大利亚,AUS,34.7
奥地利,AUT,30.8
比利时,BEL,28.4
孟加拉国,BGD,32.4
保加利亚,BGR,41.3
白俄罗斯,BLR,28.6
加拿大,CAN,33.8
瑞士,CHE,33.1
中国,CHN,43.7
哥伦比亚,COL,54.6
哥斯达黎加,CRI,49.3
塞浦路斯,CYP,37.0
捷克共和国,CZE,26.6
德国,DEU,31.9
丹麦,DNK,28.7
多米尼加共和国,DOM,47.7
厄瓜多尔,ECU,48.8
阿拉伯埃及共和国,EGY,31.8
西班牙,ESP,36.2
爱沙尼亚,EST,35.1
埃塞俄比亚,ETH,35.0
芬兰,FIN,27.7
法国,FRA,33.7
英国,GBR,35.1
格鲁吉亚,GEO,39.6
冈比亚,GMB,43.6
几内亚比绍共和国,GNB,50.7
希腊,GRC,36.3
洪都拉斯,HND,53.4
克罗地亚,HRV,32.5
匈牙利,HUN,31.5
印度尼西亚,IDN,40.0
爱尔兰,IRL,33.5
冰岛,ISL,27.8
以色列,ISR,42.5
意大利,ITA,35.9
约旦,JOR,33.7
日本,JPN,32.9
哈萨克斯坦,KAZ,28.2
吉尔吉斯斯坦,KGZ,30.1
大韩民国,KOR,32.0
立陶宛,LTU,38.4
卢森堡,LUX,35.4
拉脱维亚,LVA,35.8
摩尔多瓦,MDA,32.1
马达加斯加,MDG,42.6
墨西哥,MEX,48.7
北马其顿,MKD,40.2
马耳他,MLT,29.4
蒙古,MNG,33.9
马拉维,MWI,45.5
荷兰,NLD,28.6
挪威,NOR,28.5
尼泊尔,NPL,32.8
巴基斯坦,PAK,32.6
巴拿马,PAN,51.7
秘鲁,PER,45.5
波兰,POL,33.2
葡萄牙,PRT,36.3
巴拉圭,PRY,52.3
约旦河西岸和加沙,PSE,35.3
罗马尼亚,ROU,36.9
俄罗斯联邦,RUS,40.9
卢旺达,RWA,47.2
萨尔瓦多,SLV,43.5
圣多美和普林西比,STP,56.3
斯洛伐克共和国,SVK,28.1
斯洛文尼亚,SVN,26.2
瑞典,SWE,30.0
泰国,THA,39.4
突尼斯,TUN,35.8
土耳其,TUR,42.9
图瓦卢,TUV,39.1
乌克兰,UKR,26.6
乌拉圭,URY,44.5
美国,USA,41.5
越南,VNM,39.3
瓦努阿图,VUT,37.6
科索沃,XKX,33.3
南非,ZAF,63.4
赞比亚,ZMB,57.1
