Country Name,Country Code,Poor_Percent
阿根廷,ARG,1.5
亚美尼亚,ARM,1.8
澳大利亚,AUS,0.5
奥地利,AUT,0.7
比利时,BEL,0.2
孟加拉国,BGD,19.2
保加利亚,BGR,3.4
白俄罗斯,BLR,0.0
加拿大,CAN,0.5
瑞士,CHE,0.0
中国,CHN,11.2
哥伦比亚,COL,7.8
哥斯达黎加,CRI,1.7
塞浦路斯,CYP,0.1
捷克共和国,CZE,0.0
德国,DEU,0.0
丹麦,DNK,0.3
多米尼加共和国,DOM,2.9
东亚与太平洋地区,EAS,10.8
欧洲与中亚地区,ECS,2.4
厄瓜多尔,ECU,5.7
阿拉伯埃及共和国,EGY,3.8
西班牙,ESP,1.2
爱沙尼亚,EST,1.0
埃塞俄比亚,ETH,35.6
脆弱和受衝突影響的情況下,FCS,39.6
芬兰,FIN,0.1
法国,FRA,0.1
英国,GBR,0.4
格鲁吉亚,GEO,12.0
冈比亚,GMB,25.4
几内亚比绍共和国,GNB,68.4
希腊,GRC,1.5
高收入国家,HIC,0.7
洪都拉斯,HND,19.0
克罗地亚,HRV,1.2
匈牙利,HUN,1.3
IDA總,IDA,35.8
印度尼西亚,IDN,13.3
爱尔兰,IRL,0.7
冰岛,ISL,0.1
以色列,ISR,0.5
意大利,ITA,1.9
约旦,JOR,0.1
日本,JPN,0.7
哈萨克斯坦,KAZ,0.1
吉尔吉斯斯坦,KGZ,2.8
大韩民国,KOR,0.5
拉丁美洲与加勒比海地区,LCN,6.0
低收入国家,LIC,49.1
中低等收入国家,LMC,23.6
中低收入国家,LMY,19.2
立陶宛,LTU,1.5
卢森堡,LUX,0.3
拉脱维亚,LVA,1.6
摩尔多瓦,MDA,0.5
马达加斯加,MDG,78.8
中东与北非地区,MEA,7.0
墨西哥,MEX,4.5
北马其顿,MKD,10.4
马耳他,MLT,0.2
蒙古,MNG,0.7
马拉维,MWI,71.1
荷兰,NLD,0.2
挪威,NOR,0.3
尼泊尔,NPL,15.0
巴基斯坦,PAK,8.3
巴拿马,PAN,4.5
秘鲁,PER,5.5
波兰,POL,0.4
葡萄牙,PRT,0.8
巴拉圭,PRY,5.2
约旦河西岸和加沙,PSE,0.8
罗马尼亚,ROU,6.5
俄罗斯联邦,RUS,0.1
卢旺达,RWA,63.2
南亚,SAS,26.0
萨尔瓦多,SLV,5.7
撒哈拉以南非洲地区,SSF,47.5
圣多美和普林西比,STP,35.6
斯洛伐克共和国,SVK,1.3
斯洛文尼亚,SVN,0.0
瑞典,SWE,0.7
泰国,THA,0.1
突尼斯,TUN,2.0
土耳其,TUR,0.8
图瓦卢,TUV,3.3
乌克兰,UKR,0.0
中高等收入国家,UMC,8.0
乌拉圭,URY,0.2
美国,USA,1.2
越南,VNM,4.0
瓦努阿图,VUT,13.2
世界,WLD,16.0
科索沃,XKX,2.5
南非,ZAF,18.7
赞比亚,ZMB,65.8
